Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
1262,Spirited Away 2018 Re-release,70186029,1175067,69010962,2018.csv,2018,0.016742178133485795,0.9832578218665142
1263,Think Like a Man Too,70181428,65182182,4999246,2014.csv,2014,0.9287668241803231,0.07123317581967696
1264,Titanic 25 Year Anniversary,70157472,15033795,55123677,2023.csv,2023,0.21428644122182738,0.7857135587781726
1265,A Cinderella Story,70067909,51438175,18629734,2004.csv,2004,0.7341188817265832,0.2658811182734167
1266,See You Tomorrow,70065569,0,70065569,2016.csv,2016,0.0,1.0
1267,Hitman's Wife's Bodyguard,70060492,38014727,32045765,2021.csv,2021,0.5425986303379086,0.45740136966209144
1268,Mulan,69965374,0,69965374,2020.csv,2020,0.0,1.0
1269,Sole a catinelle,69903094,0,69903094,2013.csv,2013,0.0,1.0
1270,The Northman,69633110,34233110,35400000,2022.csv,2022,0.49162115551064717,0.5083788444893529
1271,Exit,69501772,470699,69031073,2019.csv,2019,0.006772474808268198,0.9932275251917319
1272,After,69497587,12138565,57359022,2019.csv,2019,0.1746616756636457,0.8253383243363543
1273,A Very Long Engagement,69424389,6524389,62900000,2004.csv,2004,0.0939783423949183,0.9060216576050817
1274,Playing with Fire,69412425,44451847,24960578,2019.csv,2019,0.6404018732957392,0.3595981267042608
1275,13 Hours,69411370,52853219,16558151,2015.csv,2015,0.7614490104431018,0.23855098955689824
1276,E.T. the Extra-Terrestrial 20th Anniversary,69177751,35306015,33871736,2002.csv,2002,0.5103666206205518,0.4896333793794482
1277,Running Man,68782475,310978,68471497,2015.csv,2015,0.004521180722269735,0.9954788192777303
1278,House of Wax,68766121,32064800,36701321,2005.csv,2005,0.46628775236573256,0.5337122476342675
1279,The Nut Job 2: Nutty by Nature,68743485,28370522,40372963,2017.csv,2017,0.41270124725273966,0.5872987527472603
1280,The Sweetest Thing,68696770,24718164,43978606,2002.csv,2002,0.35981551971075204,0.6401844802892479
1281,The Call,68572631,51872378,16700253,2013.csv,2013,0.7564589143444124,0.24354108565558757
1282,One Direction: This Is Us,68532898,28873374,39659524,2013.csv,2013,0.4213067715303678,0.5786932284696322
1283,Looney Tunes: Back in Action,68514844,20991364,47523480,2003.csv,2003,0.3063768779799017,0.6936231220200983
1284,Thir13en Ghosts,68467960,41867960,26600000,2001.csv,2001,0.6114971148548898,0.3885028851451102
1285,Pokémon 3 the Movie: Spell of the Unown,68411275,17052128,51359147,2001.csv,2001,0.24925902930474544,0.7507409706952546
1286,Ghost Ship,68349884,30113491,38236393,2002.csv,2002,0.4405785238786945,0.5594214761213054
