Rank,Release Group,Worldwide,Domestic,%,Foreign,%
107,Last Night in Soho,"$22,957,625","$10,127,625",44.1%,"$12,830,000",55.9%
108,The Day We Lit Up the Sky,"$22,500,000",-,-,"$22,500,000",100%
109,School of Magical Animals,"$21,984,454","$288,414",1.3%,"$21,696,040",98.7%
110,Kaamelott: First Installment,"$21,979,122","$188,000",0.9%,"$21,791,122",99.1%
111,After We Fell,"$21,753,705","$2,170,750",10%,"$19,582,955",90%
112,Rurouni Kenshin: Final Chapter Part II - The Beginning,"$21,318,560",-,-,"$21,318,560",100%
113,Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%
114,Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkasu Academy,"$20,752,104",-,-,"$20,752,104",100%
115,Stillwater,"$19,754,272","$14,465,535",73.2%,"$5,288,737",26.8%
116,The Wolf and the Lion,"$19,510,578","$2,072,173",10.6%,"$17,438,405",89.4%
117,Les Tuche 4,"$19,259,766",-,-,"$19,259,766",100%
118,Dear Evan Hansen,"$19,133,454","$15,002,646",78.4%,"$4,130,808",21.6%
119,Those Who Wish Me Dead,"$19,107,200","$7,407,200",38.8%,"$11,700,000",61.2%
120,The Pioneer,"$18,900,000",-,-,"$18,900,000",100%
121,The Green Knight,"$18,887,953","$17,173,321",90.9%,"$1,714,632",9.1%
122,Antlers,"$18,867,659","$10,619,670",56.3%,"$8,247,989",43.7%
123,Sinkhole,"$18,804,231",-,-,"$18,804,231",100%
124,Mobile Suit Gundam: Hathaway,"$18,731,309",-,-,"$18,731,309",100%
125,The Stronghold,"$18,066,143",-,-,"$18,066,143",100%
126,"Bố Già (Dad, I'm Sorry)","$17,480,489","$350,000",2%,"$17,130,489",98%
127,Gintama: The Final,"$17,252,960",-,-,"$17,252,960",100%
128,Railway Heroes,"$17,223,704",-,-,"$17,223,704",100%
129,Your Turn to Kill,"$16,511,822",-,-,"$16,511,822",100%
130,Cry Macho,"$16,510,734","$10,310,734",62.4%,"$6,200,000",37.6%
131,Reminiscence,"$16,400,193","$3,900,193",23.8%,"$12,500,000",76.2%
132,Legend No. 17,"$16,096,860",-,-,"$16,096,860",100%
133,The Dry,"$16,066,821","$364,237",2.3%,"$15,702,584",97.7%
134,Upon the Magic Roads,"$15,990,882",-,-,"$15,990,882",100%
135,The Night House,"$15,437,703","$7,100,581",46%,"$8,337,122",54%
136,Harry Potter and the Sorcerer's Stone 2021 Re-release,"$15,372,357","$799,342",5.2%,"$14,573,015",94.8%
137,Drive My Car,"$15,360,756","$2,352,240",15.3%,"$13,008,516",84.7%
138,Minari,"$15,312,445","$3,110,580",20.3%,"$12,201,865",79.7%
139,Something About Love,"$15,204,017",-,-,"$15,204,017",100%
140,Anita,"$15,017,470","$556,632",3.7%,"$14,460,838",96.3%
141,The Tomorrow War,"$14,400,000",-,-,"$14,400,000",100%
142,And So the Baton Is Passed,"$14,368,469",-,-,"$14,368,469",100%
143,Sword Art Online: Progressive - Aria of a Starless Night,"$14,032,747","$1,050,000",7.5%,"$12,982,747",92.5%
144,Christmas with the Chosen: The Messengers,"$13,728,000","$13,728,000",100%,-,-
145,Eiffel,"$13,649,605","$444,814",3.3%,"$13,204,791",96.7%
146,OSS 117: From Africa with Love,"$13,457,801",-,-,"$13,457,801",100%
147,Hostage: Missing Celebrity,"$13,174,292",-,-,"$13,174,292",100%
148,Vakeel Saab,"$13,056,490",-,-,"$13,056,490",100%
149,The Many Saints of Newark,"$13,037,403","$8,237,403",63.2%,"$4,800,000",36.8%
150,Monkey King Reborn,"$13,012,133",-,-,"$13,012,133",100%
151,No Escapes,"$12,916,151",-,-,"$12,916,151",100%
152,The Bodin's in the Land of Smile,"$12,872,253",-,-,"$12,872,253",100%
153,The Worst Person in the World,"$12,687,293","$3,034,775",23.9%,"$9,652,518",76.1%
154,Character,"$12,628,017",-,-,"$12,628,017",100%
155,On the Line,"$12,522,284",-,-,"$12,522,284",100%
156,On Your Mark,"$12,100,000",-,-,"$12,100,000",100%
157,Stand by Me,"$11,900,000",-,-,"$11,900,000",100%
158,The Fable: The Killer Who Doesn't Kill,"$11,325,545",-,-,"$11,325,545",100%
159,What Did You Eat Yesterday?,"$11,320,893",-,-,"$11,320,893",100%
160,Aline,"$11,149,943","$667,815",6%,"$10,482,128",94%
161,Krack,"$10,442,916",-,-,"$10,442,916",100%
162,Kaiserschmarrndrama,"$10,357,720",-,-,"$10,357,720",100%
163,"Caution, Hazardous Wife: The Movie","$10,356,359",-,-,"$10,356,359",100%
164,The Last Warrior,"$10,348,542",-,-,"$10,348,542",100%
165,Detective Conan: The Scarlet Alibi,"$10,308,627",-,-,"$10,308,627",100%
166,Never Stop,"$10,224,935",-,-,"$10,224,935",100%
167,Ainbo,"$10,202,069",-,-,"$10,202,069",100%
168,Black Box,"$9,738,741",-,-,"$9,738,741",100%
169,Eiga Sumikkogurashi: Aoi tsukiyo no mahô no ko,"$9,735,732",-,-,"$9,735,732",100%
170,The Soul,"$9,600,000",-,-,"$9,600,000",100%
171,¡A todo tren! Destino Asturias,"$9,544,171",-,-,"$9,544,171",100%
172,Baragaki: Unbroken Samurai,"$9,481,437",-,-,"$9,481,437",100%
173,Dad,"$9,267,397",-,-,"$9,267,397",100%
174,All About My Mother,"$8,900,000",-,-,"$8,900,000",100%
175,The Eleventh Chapter,"$8,844,997",-,-,"$8,844,997",100%
176,The Medium,"$8,826,689",-,-,"$8,826,689",100%
177,The Vault,"$8,803,864",-,-,"$8,803,864",100%
178,Kaguya-sama: Love Is War,"$8,794,981",-,-,"$8,794,981",100%
179,Moonbound,"$8,790,990",-,-,"$8,790,990",100%
180,The Protégé,"$8,737,253","$7,446,823",85.2%,"$1,290,430",14.8%
181,Lost Illusions,"$8,635,184","$126,391",1.5%,"$8,508,793",98.5%
182,Agent Backkom: Kings Bear,"$8,578,734",-,-,"$8,578,734",100%
183,Pil's Adventures,"$8,567,345",-,-,"$8,567,345",100%
184,Honey Lemon Soda,"$8,441,488",-,-,"$8,441,488",100%
185,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,377,569",-,-,"$8,377,569",100%
186,Delicious,"$8,357,060",-,-,"$8,357,060",100%
187,I Don't Have Any Money Left in My Retirement Account,"$8,204,616",-,-,"$8,204,616",100%
188,Girls to Buy,"$8,177,284",-,-,"$8,177,284",100%
189,White Snake 2: Green Snake,"$8,170,000",-,-,"$8,170,000",100%
190,New Happy Dad and Son 4,"$8,070,000",-,-,"$8,070,000",100%
191,Sunny Sisters,"$7,880,000",-,-,"$7,880,000",100%
192,Contra,"$7,762,797",-,-,"$7,762,797",100%
193,Hard Hit,"$7,658,021",-,-,"$7,658,021",100%
194,Little Canned Men,"$7,600,000",-,-,"$7,600,000",100%
195,Pushpa: The Rise - Part 1,"$7,592,374","$1,320,000",17.4%,"$6,272,374",82.6%
196,The Mauritanian,"$7,527,030","$836,536",11.1%,"$6,690,494",88.9%
197,The Ice Road,"$7,502,846",-,-,"$7,502,846",100%
198,Judas and the Black Messiah,"$7,478,009","$5,478,009",73.3%,"$2,000,000",26.7%
199,Love Letter 2021 Re-release,"$7,400,000",-,-,"$7,400,000",100%
200,Signal: The Movie,"$7,388,603",-,-,"$7,388,603",100%
